id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
12	260	6	ConnectionPool.java	pruneAndGetAllocationCount	THIS	ConnectionPool	UNKNOWN_AS	0	0	NO_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	reference	Reference<StreamAllocation>	get()	0	1	NO_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	streamAllocRef	StreamAllocationReference	CAST	0	0	NO_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	message	String	+	0	0	NO_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	i	int	0	0	0	NO_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	references	List<Reference<StreamAllocation>>	NAME	0	1	NO_USE	1
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	connection	RealConnection	LITERAL	1	0	OTHER_USE	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	now	long	PARAM_AS	1	0	-	0
13	276	6	ConnectionPool.java	pruneAndGetAllocationCount	THIS	ConnectionPool	LITERAL	0	0	FIELD_USE	0
14	61	6	RealCall.java	execute	THIS	RealCall	UNKNOWN_AS	0	0	NO_USE	1
15	68	6	RealCall.java	execute	result	Response	getResponseWithInterceptorChain()	0	1	NO_USE	1
15	68	6	RealCall.java	execute	THIS	RealCall	LITERAL	0	0	NO_USE	0
16	82	6	RealCall.java	enqueue	responseCallback	Callback	PARAM_AS	1	0	NO_USE	0
16	82	6	RealCall.java	enqueue	THIS	RealCall	UNKNOWN_AS	0	0	NO_USE	1
17	176	4	RealCall.java	getResponseWithInterceptorChain	interceptors	List<Interceptor>	CLASS_INSTANCE_CREATION	0	0	CLALLER_USE	0
17	176	4	RealCall.java	getResponseWithInterceptorChain	THIS	RealCall	UNKNOWN_AS	0	1	FIELD_USE	1
18	400	4	CipherSuite.java	forJavaName	result	CipherSuite	get()	0	1	PARAM_USE	1
18	400	4	CipherSuite.java	forJavaName	javaName	String	PARAM_AS	1	0	OTHER_USE	0
18	400	4	CipherSuite.java	forJavaName	THIS	CipherSuite	UNKNOWN_AS	0	0	NO_USE	0
19	416	4	CipherSuite.java	CipherSuite	javaName	String	PARAM_AS	1	1	NO_USE	1
19	416	4	CipherSuite.java	CipherSuite	THIS	CipherSuite	UNKNOWN_AS	0	0	NO_USE	0
20	60	4	Address.java	Address	uriHost	String	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	uriPort	int	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	dns	Dns	PARAM_AS	1	1	NO_USE	1
20	60	4	Address.java	Address	socketFactory	SocketFactory	PARAM_AS	1	1	NO_USE	0
20	60	4	Address.java	Address	sslSocketFactory	SSLSocketFactory	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	hostnameVerifier	HostnameVerifier	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	certificatePinner	CertificatePinner	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	proxyAuthenticator	Authenticator	PARAM_AS	1	1	NO_USE	0
20	60	4	Address.java	Address	proxy	Proxy	PARAM_AS	1	0	NO_USE	0
20	60	4	Address.java	Address	protocols	List<Protocol>	PARAM_AS	1	1	NO_USE	0
20	60	4	Address.java	Address	connectionSpecs	List<ConnectionSpec>	PARAM_AS	1	1	NO_USE	0
20	60	4	Address.java	Address	proxySelector	ProxySelector	PARAM_AS	1	1	NO_USE	0
