/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[126]	train-error:0.110784	eval-error:0.110755
[127]	train-error:0.110784	eval-error:0.111396
[128]	train-error:0.110143	eval-error:0.110115
[129]	train-error:0.110656	eval-error:0.110115
[130]	train-error:0.110272	eval-error:0.106914
[131]	train-error:0.1104	eval-error:0.105634
[132]	train-error:0.110143	eval-error:0.105634
[133]	train-error:0.110143	eval-error:0.106914
[134]	train-error:0.109119	eval-error:0.106914
[135]	train-error:0.108222	eval-error:0.106274
[136]	train-error:0.107838	eval-error:0.106274
[137]	train-error:0.10771	eval-error:0.106914
[138]	train-error:0.10771	eval-error:0.106914
[139]	train-error:0.107966	eval-error:0.106914
[140]	train-error:0.108222	eval-error:0.106914
[141]	train-error:0.107966	eval-error:0.106914
[142]	train-error:0.107966	eval-error:0.106274
[143]	train-error:0.107454	eval-error:0.106274
[144]	train-error:0.106942	eval-error:0.104994
[145]	train-error:0.107454	eval-error:0.105634
[146]	train-error:0.107454	eval-error:0.104994
[147]	train-error:0.107198	eval-error:0.104353
[148]	train-error:0.10707	eval-error:0.103073
[149]	train-error:0.10707	eval-error:0.103073
[150]	train-error:0.106942	eval-error:0.102433
[151]	train-error:0.106685	eval-error:0.102433
[152]	train-error:0.106557	eval-error:0.102433
[153]	train-error:0.105789	eval-error:0.101793
[154]	train-error:0.105789	eval-error:0.102433
[155]	train-error:0.105149	eval-error:0.103073
[156]	train-error:0.10502	eval-error:0.101152
[157]	train-error:0.104892	eval-error:0.101152
[158]	train-error:0.104508	eval-error:0.101152
[159]	train-error:0.104508	eval-error:0.101152
[160]	train-error:0.104764	eval-error:0.101152
[161]	train-error:0.10438	eval-error:0.101152
[162]	train-error:0.104508	eval-error:0.101152
[163]	train-error:0.104252	eval-error:0.101152
[164]	train-error:0.104252	eval-error:0.102433
[165]	train-error:0.104764	eval-error:0.102433
[166]	train-error:0.104892	eval-error:0.102433
[167]	train-error:0.104764	eval-error:0.101793
[168]	train-error:0.10374	eval-error:0.100512
[169]	train-error:0.104124	eval-error:0.102433
[170]	train-error:0.104124	eval-error:0.103713
[171]	train-error:0.104252	eval-error:0.103073
[172]	train-error:0.104508	eval-error:0.103073
[173]	train-error:0.103868	eval-error:0.101793
[174]	train-error:0.103227	eval-error:0.101152
[175]	train-error:0.10374	eval-error:0.101793
[176]	train-error:0.103868	eval-error:0.101793
[177]	train-error:0.103868	eval-error:0.101152
[178]	train-error:0.103612	eval-error:0.101152
[179]	train-error:0.103484	eval-error:0.100512
[180]	train-error:0.103227	eval-error:0.100512
[181]	train-error:0.103356	eval-error:0.099872
[182]	train-error:0.102587	eval-error:0.100512
[183]	train-error:0.102459	eval-error:0.101152
[184]	train-error:0.102459	eval-error:0.101152
[185]	train-error:0.102203	eval-error:0.101152
[186]	train-error:0.102203	eval-error:0.100512
[187]	train-error:0.101819	eval-error:0.100512
[188]	train-error:0.101562	eval-error:0.099872
[189]	train-error:0.101306	eval-error:0.099232
[190]	train-error:0.101819	eval-error:0.100512
[191]	train-error:0.101306	eval-error:0.098592
[192]	train-error:0.10105	eval-error:0.097951
[193]	train-error:0.101434	eval-error:0.097951
[194]	train-error:0.100794	eval-error:0.097311
[195]	train-error:0.100922	eval-error:0.097311
[196]	train-error:0.101178	eval-error:0.097311
[197]	train-error:0.100794	eval-error:0.097311
[198]	train-error:0.100922	eval-error:0.097311
[199]	train-error:0.101306	eval-error:0.097951
[200]	train-error:0.101306	eval-error:0.098592
[201]	train-error:0.10105	eval-error:0.098592
[202]	train-error:0.100666	eval-error:0.097311
[203]	train-error:0.100666	eval-error:0.097311
[204]	train-error:0.100154	eval-error:0.097311
[205]	train-error:0.100026	eval-error:0.09411
[206]	train-error:0.099769	eval-error:0.09411
[207]	train-error:0.10041	eval-error:0.09411
[208]	train-error:0.100282	eval-error:0.09347
[209]	train-error:0.100282	eval-error:0.09411
[210]	train-error:0.100538	eval-error:0.09411
[211]	train-error:0.099641	eval-error:0.09283
[212]	train-error:0.099385	eval-error:0.09411
[213]	train-error:0.099257	eval-error:0.09475
[214]	train-error:0.099129	eval-error:0.09347
[215]	train-error:0.098873	eval-error:0.09283
[216]	train-error:0.098489	eval-error:0.091549
[217]	train-error:0.097976	eval-error:0.09283
[218]	train-error:0.098105	eval-error:0.09283
[219]	train-error:0.097848	eval-error:0.09283
[220]	train-error:0.097592	eval-error:0.091549
[221]	train-error:0.097976	eval-error:0.090909
[222]	train-error:0.09772	eval-error:0.091549
[223]	train-error:0.09772	eval-error:0.091549
[224]	train-error:0.09772	eval-error:0.09283
[225]	train-error:0.097976	eval-error:0.09347
