/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[125]	train-error:0.128308	eval-error:0.128449
[126]	train-error:0.127927	eval-error:0.130352
[127]	train-error:0.126785	eval-error:0.124643
[128]	train-error:0.127546	eval-error:0.127498
[129]	train-error:0.127165	eval-error:0.127498
[130]	train-error:0.127165	eval-error:0.126546
[131]	train-error:0.126975	eval-error:0.127498
[132]	train-error:0.126594	eval-error:0.128449
[133]	train-error:0.126404	eval-error:0.125595
[134]	train-error:0.126975	eval-error:0.125595
[135]	train-error:0.126785	eval-error:0.125595
[136]	train-error:0.126214	eval-error:0.124643
[137]	train-error:0.126214	eval-error:0.124643
[138]	train-error:0.126023	eval-error:0.124643
[139]	train-error:0.125833	eval-error:0.125595
[140]	train-error:0.126214	eval-error:0.127498
[141]	train-error:0.125071	eval-error:0.124643
[142]	train-error:0.125071	eval-error:0.123692
[143]	train-error:0.125262	eval-error:0.126546
[144]	train-error:0.125262	eval-error:0.125595
[145]	train-error:0.125071	eval-error:0.125595
[146]	train-error:0.125071	eval-error:0.127498
[147]	train-error:0.124881	eval-error:0.126546
[148]	train-error:0.123929	eval-error:0.12274
[149]	train-error:0.12431	eval-error:0.123692
[150]	train-error:0.12412	eval-error:0.124643
[151]	train-error:0.1245	eval-error:0.125595
[152]	train-error:0.123929	eval-error:0.123692
[153]	train-error:0.12431	eval-error:0.128449
[154]	train-error:0.1245	eval-error:0.129401
[155]	train-error:0.123358	eval-error:0.123692
[156]	train-error:0.123739	eval-error:0.126546
[157]	train-error:0.123358	eval-error:0.126546
[158]	train-error:0.123739	eval-error:0.12274
[159]	train-error:0.12412	eval-error:0.123692
[160]	train-error:0.12412	eval-error:0.128449
[161]	train-error:0.123358	eval-error:0.127498
[162]	train-error:0.122787	eval-error:0.126546
[163]	train-error:0.122406	eval-error:0.120837
[164]	train-error:0.122977	eval-error:0.125595
[165]	train-error:0.122026	eval-error:0.12274
[166]	train-error:0.121835	eval-error:0.12274
[167]	train-error:0.121835	eval-error:0.120837
[168]	train-error:0.121835	eval-error:0.120837
[169]	train-error:0.121645	eval-error:0.120837
[170]	train-error:0.121264	eval-error:0.120837
[171]	train-error:0.121454	eval-error:0.119886
[172]	train-error:0.121454	eval-error:0.119886
[173]	train-error:0.121645	eval-error:0.118934
[174]	train-error:0.120883	eval-error:0.118934
[175]	train-error:0.120883	eval-error:0.119886
[176]	train-error:0.121074	eval-error:0.119886
[177]	train-error:0.121454	eval-error:0.12274
[178]	train-error:0.121074	eval-error:0.121789
[179]	train-error:0.121835	eval-error:0.123692
[180]	train-error:0.121454	eval-error:0.121789
[181]	train-error:0.121074	eval-error:0.121789
[182]	train-error:0.120693	eval-error:0.12274
[183]	train-error:0.120312	eval-error:0.121789
[184]	train-error:0.120312	eval-error:0.121789
[185]	train-error:0.120122	eval-error:0.12274
[186]	train-error:0.120312	eval-error:0.123692
[187]	train-error:0.119551	eval-error:0.12274
[188]	train-error:0.119741	eval-error:0.124643
[189]	train-error:0.120122	eval-error:0.124643
[190]	train-error:0.119551	eval-error:0.123692
[191]	train-error:0.119551	eval-error:0.123692
[192]	train-error:0.119931	eval-error:0.12274
[193]	train-error:0.119741	eval-error:0.121789
[194]	train-error:0.119741	eval-error:0.121789
[195]	train-error:0.119551	eval-error:0.120837
[196]	train-error:0.11898	eval-error:0.121789
[197]	train-error:0.11898	eval-error:0.120837
[198]	train-error:0.119741	eval-error:0.119886
[199]	train-error:0.11936	eval-error:0.120837
[200]	train-error:0.11917	eval-error:0.119886
[201]	train-error:0.11898	eval-error:0.118934
[202]	train-error:0.11898	eval-error:0.119886
[203]	train-error:0.118599	eval-error:0.118934
[204]	train-error:0.118218	eval-error:0.117983
[205]	train-error:0.118028	eval-error:0.117983
[206]	train-error:0.117837	eval-error:0.117983
[207]	train-error:0.117457	eval-error:0.117983
[208]	train-error:0.116695	eval-error:0.117031
[209]	train-error:0.116695	eval-error:0.117031
[210]	train-error:0.116505	eval-error:0.117983
[211]	train-error:0.115743	eval-error:0.118934
[212]	train-error:0.115934	eval-error:0.118934
[213]	train-error:0.116505	eval-error:0.117983
[214]	train-error:0.115743	eval-error:0.117983
[215]	train-error:0.115172	eval-error:0.117031
[216]	train-error:0.116314	eval-error:0.117983
[217]	train-error:0.116505	eval-error:0.117031
[218]	train-error:0.116314	eval-error:0.11608
[219]	train-error:0.115934	eval-error:0.118934
[220]	train-error:0.115743	eval-error:0.11608
[221]	train-error:0.115363	eval-error:0.11608
[222]	train-error:0.115363	eval-error:0.11608
[223]	train-error:0.115553	eval-error:0.115128
[224]	train-error:0.115553	eval-error:0.115128
[225]	train-error:0.115172	eval-error:0.114177
[226]	train-error:0.114982	eval-error:0.115128
[227]	train-error:0.115172	eval-error:0.115128
[228]	train-error:0.114411	eval-error:0.114177
[229]	train-error:0.114601	eval-error:0.115128
[230]	train-error:0.114792	eval-error:0.115128
[231]	train-error:0.115172	eval-error:0.11608
[232]	train-error:0.115172	eval-error:0.11608
[233]	train-error:0.114982	eval-error:0.11608
[234]	train-error:0.115172	eval-error:0.11608
[235]	train-error:0.115172	eval-error:0.115128
[236]	train-error:0.115172	eval-error:0.114177
[237]	train-error:0.114982	eval-error:0.111323
[238]	train-error:0.115553	eval-error:0.113225
[239]	train-error:0.115172	eval-error:0.110371
[240]	train-error:0.115172	eval-error:0.111323
[241]	train-error:0.115172	eval-error:0.111323
[242]	train-error:0.114982	eval-error:0.111323
[243]	train-error:0.11403	eval-error:0.111323
[244]	train-error:0.114411	eval-error:0.111323
[245]	train-error:0.114982	eval-error:0.115128
[246]	train-error:0.114792	eval-error:0.114177
[247]	train-error:0.115172	eval-error:0.11608
[248]	train-error:0.114982	eval-error:0.117983
