/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[126]	train-error:0.084033	eval-error:0.08696
[127]	train-error:0.084069	eval-error:0.08696
[128]	train-error:0.083888	eval-error:0.086779
[129]	train-error:0.083852	eval-error:0.086779
[130]	train-error:0.083725	eval-error:0.086508
[131]	train-error:0.083563	eval-error:0.086508
[132]	train-error:0.083382	eval-error:0.086237
[133]	train-error:0.0834	eval-error:0.086237
[134]	train-error:0.083146	eval-error:0.085875
[135]	train-error:0.082893	eval-error:0.085784
[136]	train-error:0.082911	eval-error:0.085694
[137]	train-error:0.082911	eval-error:0.085694
[138]	train-error:0.082658	eval-error:0.085241
[139]	train-error:0.082712	eval-error:0.08506
[140]	train-error:0.082513	eval-error:0.084879
[141]	train-error:0.08244	eval-error:0.085151
[142]	train-error:0.08244	eval-error:0.08506
[143]	train-error:0.082241	eval-error:0.085151
[144]	train-error:0.082169	eval-error:0.08497
[145]	train-error:0.082097	eval-error:0.084698
[146]	train-error:0.082223	eval-error:0.08506
[147]	train-error:0.082151	eval-error:0.084789
[148]	train-error:0.082115	eval-error:0.084789
[149]	train-error:0.08206	eval-error:0.084879
[150]	train-error:0.082133	eval-error:0.084879
[151]	train-error:0.082151	eval-error:0.084879
[152]	train-error:0.082078	eval-error:0.085241
[153]	train-error:0.081897	eval-error:0.084789
[154]	train-error:0.081861	eval-error:0.084698
[155]	train-error:0.081934	eval-error:0.08497
[156]	train-error:0.08168	eval-error:0.084698
[157]	train-error:0.081481	eval-error:0.084336
[158]	train-error:0.081463	eval-error:0.083884
[159]	train-error:0.081409	eval-error:0.083793
[160]	train-error:0.08121	eval-error:0.083974
[161]	train-error:0.081336	eval-error:0.083793
[162]	train-error:0.081264	eval-error:0.083884
[163]	train-error:0.081155	eval-error:0.083884
[164]	train-error:0.081083	eval-error:0.083884
[165]	train-error:0.081065	eval-error:0.083884
[166]	train-error:0.081047	eval-error:0.083612
[167]	train-error:0.081011	eval-error:0.083793
[168]	train-error:0.080938	eval-error:0.083703
[169]	train-error:0.080938	eval-error:0.083884
[170]	train-error:0.080812	eval-error:0.083612
[171]	train-error:0.080812	eval-error:0.083522
[172]	train-error:0.080793	eval-error:0.082979
[173]	train-error:0.080703	eval-error:0.082888
[174]	train-error:0.080558	eval-error:0.082617
[175]	train-error:0.080576	eval-error:0.082707
[176]	train-error:0.080468	eval-error:0.082526
[177]	train-error:0.080413	eval-error:0.082798
[178]	train-error:0.080431	eval-error:0.082707
[179]	train-error:0.08045	eval-error:0.082707
[180]	train-error:0.08045	eval-error:0.082436
[181]	train-error:0.080232	eval-error:0.082165
