619,2130,488,217,0,18,205
68,2336,488,217,0,18,205
824,1043,8,568,1,7,519
868,904,86,568,0,7,552
313,635,298,561,1,67,198
144,1019,288,570,1,67,165
924,836,968,366,0,7,168
370,1412,1531,561,1,7,219
337,1880,289,561,0,67,219
604,1600,386,561,0,67,106
619,1545,376,184,1,7,17
860,483,634,561,0,18,255
61,1450,1381,460,0,67,380
273,2533,1044,365,0,7,327
416,458,84,158,0,67,205
915,357,720,265,1,7,161
507,2437,1178,570,0,0,236
371,784,1531,561,0,67,39
12,2402,1049,561,1,7,286
112,2545,559,568,0,64,102
185,836,1028,568,0,7,111
336,2506,304,563,0,8,387
898,1139,1563,542,0,7,17
337,1730,1531,561,0,67,124
235,1799,830,570,0,7,217
925,836,968,366,1,7,168
114,27,1254,570,0,7,1
669,2318,301,563,1,7,205
520,1419,40,334,0,7,205
659,1761,1103,386,0,7,205
381,608,989,527,0,67,205
688,2201,559,568,0,7,39
725,1156,850,570,0,67,52
194,601,1109,509,0,7,17
836,1069,1099,388,0,7,17
113,1409,506,563,0,46,412
790,886,1339,80,0,67,205
915,859,65,340,0,7,17
617,522,85,354,0,7,335
325,905,169,474,1,7,17
865,2016,1106,388,0,18,205
797,904,1484,562,0,7,549
268,1330,692,277,0,7,17
519,2337,489,323,0,18,205
48,1408,1564,562,0,7,24
127,2606,1428,568,1,7,45
790,1388,1202,80,0,7,205
712,2587,1321,333,0,18,205
100,811,451,561,0,67,106
174,681,968,366,0,7,168
360,101,1093,570,0,14,252
234,952,1066,561,0,7,249
125,1256,681,568,1,7,240
242,1748,112,449,1,7,17
725,1804,1486,569,0,34,205
296,1213,1053,178,0,18,205
404,836,968,366,1,7,168
35,1210,630,568,0,64,39
245,1161,881,166,0,7,205
816,1292,1364,465,0,7,17
337,667,1551,561,0,67,22
242,1687,253,568,1,7,105
163,433,529,270,0,68,164
388,1408,1363,568,0,7,221
78,836,514,68,0,7,17
79,825,968,366,1,7,168
156,525,1570,19,0,7,17
75,385,616,568,1,7,105
373,869,1324,453,0,7,17
242,1687,120,559,0,7,100
488,2575,1034,397,0,67,205
592,939,630,568,1,67,542
365,1058,1337,570,0,67,276
63,2493,42,438,0,67,412
304,624,1462,562,0,7,205
915,1835,775,12,0,67,205
519,817,997,340,0,7,17
884,2196,997,340,0,18,205
147,2598,770,296,1,7,205
810,251,320,561,0,55,80
416,460,98,158,0,7,205
683,2099,1339,448,0,18,205
337,442,1531,561,1,67,39
723,225,684,111,0,18,205
823,786,33,468,0,7,184
636,795,850,568,0,67,111
611,904,1061,561,0,67,45
212,474,1278,568,0,67,105
190,498,968,366,1,7,168
282,1113,1231,568,0,18,39
755,836,968,366,0,7,168
246,1181,598,146,0,67,205
30,1558,763,171,0,7,205
790,1664,1208,80,0,67,416
590,389,31,561,0,7,219
915,509,1271,21,0,7,205
242,1687,120,559,0,67,213
591,1810,1299,558,0,67,459
898,515,33,253,0,7,150
78,837,698,448,0,67,205
3,827,1324,453,0,18,205
141,568,102,563,0,64,17
173,1214,1248,436,0,18,205
695,1001,1092,561,0,67,39
688,215,301,562,0,7,17
360,1243,327,568,0,7,436
816,1292,1328,465,0,7,17
388,1408,842,568,0,7,260
72,1189,746,20,0,18,205
720,2542,1004,562,0,8,387
337,439,1531,561,0,67,106
242,1687,120,559,1,7,101
688,1076,630,568,1,7,283
162,1414,987,561,1,18,222
591,1810,1299,558,0,67,459
271,1022,203,322,0,7,17
915,1676,54,509,0,7,205
755,836,968,366,0,7,168
752,1289,850,322,0,7,17
692,808,325,561,0,67,90
3,854,968,366,1,7,168
790,794,1319,448,0,67,205
504,1458,224,568,0,67,260
764,2220,997,340,0,18,205
745,2450,1461,402,0,67,321
441,620,1005,568,0,7,1
695,996,1465,517,0,3,370
32,1281,74,518,0,7,205
370,1807,12,561,1,7,46
7,751,1532,561,0,18,256
371,751,1531,561,1,7,80
813,1370,1184,562,0,18,205
116,1131,763,36,0,7,205
289,813,864,557,0,7,125
844,271,113,449,0,7,205
935,2616,1285,396,0,67,307
927,2220,997,340,0,18,205
243,629,1373,448,0,7,17
63,2492,42,556,1,67,205
642,810,1357,561,0,7,40
272,75,301,264,0,18,205
365,1058,1337,570,0,67,62
601,433,529,270,1,68,164
601,433,529,270,1,7,164
40,2459,729,568,0,67,105
253,1106,54,19,1,67,17
360,101,326,568,0,7,105
915,601,1142,540,0,7,313
612,1725,1215,568,0,67,105
871,1641,1178,561,0,30,105
591,1810,684,568,0,67,511
61,1364,1381,460,0,67,380
337,1530,543,562,0,7,17
416,757,338,158,0,7,205
59,2318,1167,568,0,35,217
131,834,1545,322,0,7,17
116,2318,1167,568,0,40,217
609,2206,1338,568,0,7,39
312,937,1091,561,1,7,40
770,836,632,367,0,7,17
712,2597,997,340,0,7,301
443,590,888,568,1,7,260
775,834,1477,561,0,7,93
177,565,559,568,0,54,520
823,787,33,468,0,7,190
337,439,1531,561,0,67,36
18,1617,301,562,0,56,205
790,645,1317,80,0,67,205
594,1129,325,561,0,7,247
682,1199,630,568,0,23,39
250,1520,12,170,0,8,390
337,442,1531,561,0,67,123
156,1835,775,12,0,67,205
60,893,974,331,0,67,205
330,422,489,218,0,7,205
102,1051,651,570,1,7,260
126,1303,1517,568,1,7,217
547,608,927,373,1,67,205
653,610,1153,568,0,7,105
399,702,306,233,0,18,205
312,1460,620,562,0,67,452
389,619,842,568,0,7,221
619,1963,997,340,0,18,205
504,1458,224,568,0,67,260
175,1870,1044,365,0,67,205
690,2398,449,501,0,67,434
370,2511,1531,561,0,67,270
601,2279,1193,341,0,18,205
743,315,1461,213,1,67,320
156,1064,746,20,1,7,17
37,904,86,568,0,7,552
575,455,1044,365,0,67,205
697,217,656,3,1,7,336
756,836,1567,561,1,7,261
33,1958,997,340,0,18,205
197,390,730,555,1,7,201
487,988,470,156,0,18,534
548,1190,959,401,0,7,205
113,1409,506,563,0,8,456
887,287,31,561,0,55,80
17,1385,676,568,0,43,487
591,939,1299,558,0,7,460
623,930,968,366,0,7,168
741,1409,506,563,0,46,412
849,1219,141,399,0,7,205
515,2283,1218,569,0,67,205
850,751,1531,561,0,67,57
320,390,730,571,0,67,400
592,939,630,568,0,67,543
868,904,86,568,0,7,552
278,453,120,110,0,7,17
