210,114,0,388,20,0,1,11,0
96,110,0,160,20,0,0,13,1
2,128,0,5,20,0,2,13,1
131,9,0,243,20,0,0,11,0
226,65,22,439,15,0,1,13,1
153,177,0,272,20,0,2,13,1
88,177,171,407,18,1,1,13,1
226,65,109,440,7,0,1,13,0
4,125,89,440,19,0,1,13,0
54,184,23,439,18,1,0,13,1
130,133,123,420,18,1,1,13,1
179,4,0,315,20,0,1,13,0
121,4,0,228,20,0,1,13,0
131,96,205,430,18,1,0,15,0
226,65,1,282,18,1,1,15,0
11,125,79,440,5,0,1,14,1
55,177,171,409,18,1,0,15,0
129,3,121,240,18,1,3,14,1
225,45,38,439,18,1,0,13,0
220,63,160,441,16,0,2,0,0
225,45,70,439,18,1,1,13,0
7,30,0,22,20,0,0,13,0
55,177,171,409,18,1,0,13,0
54,79,0,117,20,0,0,11,0
3,166,121,418,36,0,3,0,1
12,125,11,27,11,0,1,13,1
167,176,114,440,16,0,0,13,0
105,110,63,429,74,0,1,15,1
1,81,20,440,16,0,0,13,0
102,107,0,183,16,0,4,11,1
225,62,156,396,16,0,0,13,0
208,49,143,441,16,0,1,15,1
206,125,0,377,20,0,1,13,0
35,87,0,83,20,0,0,13,0
103,44,1,102,36,0,4,0,1
24,125,83,187,18,1,1,13,0
98,61,160,441,16,0,1,4,1
73,177,171,409,18,1,1,11,1
54,67,41,420,18,1,0,13,0
163,125,150,440,0,0,0,15,0
115,4,83,57,18,1,0,13,0
124,177,124,223,18,1,0,15,0
4,125,114,440,16,0,2,4,1
14,40,171,418,14,0,1,11,1
123,177,114,440,16,0,1,13,0
58,177,171,402,18,1,0,14,0
136,177,0,249,20,0,5,12,1
131,123,187,441,18,1,1,13,1
220,63,160,441,16,0,2,15,1
32,4,114,440,16,0,0,13,0
12,91,7,421,16,1,3,10,1
201,110,193,420,18,1,0,13,0
5,177,63,429,16,0,1,13,0
192,103,0,349,20,0,0,11,0
35,87,63,429,18,1,1,13,0
205,177,0,376,20,0,1,12,0
140,177,171,286,20,0,0,13,0
119,177,0,221,20,0,0,13,0
215,102,72,420,18,1,0,15,0
12,183,1,27,37,0,2,13,1
215,102,80,441,54,0,2,15,1
117,177,0,219,20,0,0,13,0
134,176,15,51,13,0,2,13,1
2,166,80,440,18,1,1,13,1
215,115,54,240,56,0,1,13,1
181,118,114,441,18,1,2,13,0
1,2,121,240,10,0,2,13,1
220,63,109,440,7,0,1,13,0
34,58,62,210,59,0,3,13,1
103,84,200,441,18,1,1,13,0
171,176,0,299,20,0,1,13,1
192,108,68,177,16,0,1,13,1
131,47,0,243,20,0,1,11,1
7,30,204,420,61,0,1,15,1
185,4,0,338,20,0,1,13,1
125,11,1,209,18,1,0,13,0
220,63,113,418,37,0,3,13,0
202,107,193,429,18,1,0,15,0
98,61,112,441,37,0,1,15,1
12,125,1,27,36,0,4,15,0
221,113,171,102,18,1,3,3,0
12,125,93,440,16,0,1,13,0
125,11,1,209,18,1,0,13,0
225,66,193,420,65,0,0,13,0
130,198,144,398,18,1,0,3,0
220,63,0,419,20,0,0,12,0
194,107,0,352,15,0,1,12,1
181,64,51,102,18,1,2,13,0
7,73,108,398,18,1,0,13,0
196,58,121,240,36,0,4,13,1
161,61,121,240,65,0,2,13,1
107,113,101,440,67,0,2,14,1
55,177,0,119,20,0,1,12,0
193,110,0,351,20,0,1,12,0
34,58,62,210,59,0,3,7,0
186,107,193,429,13,1,1,15,0
7,30,177,193,18,1,0,13,0
1,81,1,242,16,0,0,13,0
112,58,179,207,20,0,0,13,0
200,107,162,439,20,0,0,13,0
139,177,171,283,18,1,1,14,0
181,64,157,327,18,1,2,13,0
225,62,0,434,20,0,1,13,0
7,17,0,22,20,0,0,11,0
59,177,171,411,18,1,0,14,0
70,177,171,411,18,1,1,13,1
121,125,89,440,16,0,1,13,0
168,176,79,440,5,0,0,9,0
98,61,121,240,65,0,3,13,1
84,54,0,148,20,0,1,12,0
107,110,0,191,20,0,1,12,1
7,14,108,398,18,1,1,15,0
0,58,0,0,20,0,1,11,0
57,176,190,409,18,1,1,13,0
98,61,121,240,65,0,3,13,0
223,113,112,441,37,0,1,15,1
11,4,0,28,20,0,1,13,1
181,64,156,369,18,1,1,13,1
213,177,124,381,18,1,0,13,0
121,177,63,429,16,0,1,13,0
205,177,180,2,13,0,2,13,1
225,62,38,439,16,0,1,13,1
53,139,0,115,20,0,1,12,1
54,96,174,357,18,1,0,13,0
206,125,89,440,16,0,1,15,0
226,65,70,439,19,0,1,13,0
226,61,1,282,36,0,1,13,0
166,176,79,440,5,0,0,9,0
223,105,0,426,15,0,2,12,1
55,177,0,119,20,0,1,12,0
213,177,0,391,20,0,1,13,0
70,177,0,134,20,0,2,13,1
192,103,0,349,20,0,0,11,0
131,180,19,440,18,1,0,13,0
131,82,87,420,18,1,2,14,1
96,110,11,439,75,0,1,13,1
181,45,0,328,20,0,0,13,0
104,84,0,185,20,0,3,13,1
61,177,171,407,18,1,0,13,0
103,84,0,184,20,0,2,13,0
