/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for dubbo_...
Dataset size: (8237, 12)
Class number: 2
Training set size: (6589, 8)
Validating set size: (1648, 8)
Positive examples : 1794
Negative examples : 6443
Preprossing finished, time cost : 0:00:00.046412
Data splited and saved in ../input/dubbo/var/dubbo_.var_train.csv and ../input/dubbo/var/dubbo_.var_valid.csv
Training set size: (8237, 9)
Validataion set size: (1648, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.134029	eval-error:0.14017
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[125]	train-error:0.075149	eval-error:0.085558
[126]	train-error:0.075027	eval-error:0.086165
[127]	train-error:0.075149	eval-error:0.086165
[128]	train-error:0.075027	eval-error:0.087379
[129]	train-error:0.075513	eval-error:0.087379
[130]	train-error:0.07527	eval-error:0.087379
[131]	train-error:0.075027	eval-error:0.086772
[132]	train-error:0.07527	eval-error:0.087379
[133]	train-error:0.074785	eval-error:0.086772
[134]	train-error:0.075027	eval-error:0.086772
[135]	train-error:0.07442	eval-error:0.086772
[136]	train-error:0.074542	eval-error:0.087379
[137]	train-error:0.07442	eval-error:0.085558
[138]	train-error:0.073935	eval-error:0.085558
[139]	train-error:0.073813	eval-error:0.085558
[140]	train-error:0.073692	eval-error:0.085558
[141]	train-error:0.073328	eval-error:0.084951
[142]	train-error:0.072842	eval-error:0.084951
[143]	train-error:0.072842	eval-error:0.084951
[144]	train-error:0.072721	eval-error:0.084951
[145]	train-error:0.072963	eval-error:0.084345
[146]	train-error:0.072721	eval-error:0.083738
[147]	train-error:0.072842	eval-error:0.084345
[148]	train-error:0.072599	eval-error:0.084345
[149]	train-error:0.072721	eval-error:0.084951
[150]	train-error:0.072599	eval-error:0.084345
[151]	train-error:0.072599	eval-error:0.084345
[152]	train-error:0.072599	eval-error:0.084345
[153]	train-error:0.072356	eval-error:0.084345
[154]	train-error:0.072235	eval-error:0.084345
[155]	train-error:0.072599	eval-error:0.083738
[156]	train-error:0.072478	eval-error:0.083738
[157]	train-error:0.071992	eval-error:0.083131
[158]	train-error:0.072114	eval-error:0.083131
[159]	train-error:0.072356	eval-error:0.083131
[160]	train-error:0.072114	eval-error:0.083131
[161]	train-error:0.071871	eval-error:0.082524
[162]	train-error:0.071871	eval-error:0.083131
[163]	train-error:0.071749	eval-error:0.083131
[164]	train-error:0.071628	eval-error:0.082524
[165]	train-error:0.071507	eval-error:0.082524
[166]	train-error:0.071507	eval-error:0.083131
[167]	train-error:0.071385	eval-error:0.083131
[168]	train-error:0.071385	eval-error:0.082524
[169]	train-error:0.071385	eval-error:0.082524
[170]	train-error:0.070778	eval-error:0.082524
[171]	train-error:0.070778	eval-error:0.082524
[172]	train-error:0.0709	eval-error:0.082524
[173]	train-error:0.0709	eval-error:0.083131
[174]	train-error:0.071021	eval-error:0.083131
[175]	train-error:0.070657	eval-error:0.083131
[176]	train-error:0.070778	eval-error:0.082524
[177]	train-error:0.0709	eval-error:0.083131
[178]	train-error:0.0709	eval-error:0.083131
[179]	train-error:0.071142	eval-error:0.083738
[180]	train-error:0.071142	eval-error:0.084345
[181]	train-error:0.071021	eval-error:0.084345
[182]	train-error:0.070535	eval-error:0.084345
[183]	train-error:0.070657	eval-error:0.084345
[184]	train-error:0.070657	eval-error:0.084345
[185]	train-error:0.070657	eval-error:0.083738
[186]	train-error:0.070657	eval-error:0.083738
[187]	train-error:0.070414	eval-error:0.083738
[188]	train-error:0.070657	eval-error:0.082524
