64,228,100,167,21,0,13,17,0
52,179,0,151,26,0,0,17,0
6,216,38,18,24,1,19,17,0
5,298,389,197,24,1,1,4,1
52,113,377,167,89,0,19,19,1
6,216,36,98,19,0,0,17,0
6,216,28,167,4,0,0,17,0
64,49,267,127,19,0,0,17,0
50,88,316,138,24,1,2,18,1
64,260,0,182,26,0,0,17,0
58,186,348,167,24,1,12,17,1
41,87,0,106,26,0,16,16,1
26,281,0,78,26,0,0,17,0
27,224,166,85,24,1,0,15,0
6,216,199,187,2,0,0,17,0
6,216,56,23,48,0,0,17,0
59,296,177,197,122,0,19,10,1
7,37,295,187,15,0,0,18,0
52,211,351,169,19,0,0,15,0
6,216,312,147,134,0,5,18,1
8,13,238,130,24,1,0,17,0
10,105,386,18,24,1,18,10,1
6,213,349,167,160,0,0,17,0
50,248,0,144,26,0,0,15,0
67,312,420,197,22,0,1,17,1
6,213,349,167,160,0,0,17,0
6,216,0,11,26,0,19,17,1
18,50,398,172,17,0,15,17,0
20,246,20,189,147,0,1,17,1
6,216,198,187,125,0,0,17,0
64,228,98,167,23,0,9,17,0
6,216,193,76,103,0,1,17,0
36,66,261,167,24,1,0,19,0
51,152,351,169,19,0,0,17,0
6,216,157,18,114,0,3,17,0
58,225,0,170,26,0,1,17,1
26,281,177,197,5,0,0,13,0
6,216,157,18,114,0,3,17,0
10,7,59,167,24,1,7,4,1
6,216,156,61,17,0,1,17,0
59,296,325,167,134,0,0,17,0
6,216,138,60,16,0,0,17,0
49,145,102,197,24,1,1,17,1
6,216,83,39,55,0,9,17,0
18,50,168,187,21,0,1,17,0
52,211,261,167,165,1,8,19,1
18,10,261,167,24,1,9,19,0
26,281,38,18,24,1,19,17,1
6,216,28,167,4,0,0,17,0
50,248,59,138,41,0,1,17,0
51,152,398,138,41,0,9,18,1
52,63,0,151,26,0,0,17,0
7,37,19,197,1,0,0,17,0
52,212,261,167,160,1,19,19,1
22,308,117,44,41,0,1,17,0
56,159,369,164,116,0,0,17,0
52,212,38,197,6,0,0,17,0
66,24,0,184,26,0,0,17,0
7,32,275,197,6,0,0,17,0
59,36,10,187,24,1,1,17,0
5,8,105,197,24,1,1,17,0
50,55,343,113,19,0,9,10,0
59,143,258,137,41,0,1,17,0
52,179,0,151,26,0,9,17,0
18,50,251,131,87,0,0,17,0
18,50,347,18,105,0,1,17,0
59,296,325,167,160,0,0,17,0
18,190,163,167,24,1,12,17,1
66,202,38,18,24,1,9,17,0
18,91,163,167,24,1,1,17,0
33,110,0,89,26,0,0,17,0
59,36,394,187,24,1,0,17,0
6,216,201,187,2,0,0,17,0
6,216,83,39,55,0,9,17,0
14,46,398,138,24,1,16,19,1
59,140,248,167,24,1,0,17,0
50,248,386,18,24,1,4,18,1
50,248,173,118,24,1,0,17,0
26,281,38,18,24,1,19,17,0
52,179,278,138,24,1,9,17,0
6,216,201,187,2,0,0,17,0
6,216,313,125,144,0,0,17,0
58,226,177,197,7,0,0,17,0
7,32,220,197,24,1,13,4,0
59,296,306,167,134,0,0,17,0
18,50,177,197,5,0,13,13,1
66,166,0,184,26,0,0,17,1
59,296,302,127,19,0,0,17,0
64,228,99,197,141,0,1,17,0
52,113,0,151,26,0,0,17,0
6,216,331,19,93,0,0,17,0
67,312,0,186,19,0,9,15,1
59,15,398,167,24,1,9,17,1
59,296,207,197,122,0,1,4,1
52,179,38,18,21,1,19,10,1
6,216,158,167,89,0,0,17,0
33,263,107,88,24,1,9,15,0
18,200,38,18,41,0,9,0,1
7,32,220,197,24,1,13,17,0
8,11,0,21,26,0,0,17,0
33,110,0,89,26,0,0,17,0
33,176,343,138,124,0,0,20,0
52,211,0,151,26,0,0,17,0
6,216,312,147,134,0,5,0,0
33,65,227,23,24,1,0,19,0
6,216,0,11,26,0,19,16,0
59,138,248,167,24,1,0,17,0
50,247,387,19,24,1,1,17,1
42,294,236,109,24,1,9,15,1
6,45,260,167,24,1,0,17,0
9,85,115,167,134,0,0,17,0
45,207,206,197,37,0,1,4,0
6,216,156,61,161,0,1,17,0
6,216,200,187,21,0,0,17,0
22,308,398,138,100,0,9,19,1
6,216,312,147,134,0,5,18,1
51,152,408,155,19,0,1,17,0
59,19,0,177,26,0,0,17,0
58,277,220,197,129,0,0,17,0
6,216,152,167,89,0,0,17,0
64,187,0,182,26,0,1,17,0
18,50,348,167,40,0,0,17,0
52,113,0,151,26,0,0,17,0
64,48,354,167,75,0,9,17,0
6,216,158,167,89,0,0,17,0
66,202,40,169,19,0,0,17,0
59,143,398,167,91,0,9,17,1
52,211,351,169,19,0,0,15,0
52,183,190,167,24,1,1,17,1
14,46,277,137,18,0,0,15,0
18,91,0,54,26,0,9,15,1
45,207,56,23,24,1,0,17,0
45,207,65,169,19,0,0,17,0
6,216,88,169,27,0,0,15,0
64,259,357,127,116,0,0,17,0
45,207,106,167,59,0,1,4,0
48,124,177,197,122,0,1,19,1
45,207,177,197,7,0,1,13,1
60,235,17,189,24,1,9,17,0
67,312,424,198,22,0,0,17,0
17,164,0,52,26,0,9,15,1
18,50,0,54,26,0,15,17,0
59,296,302,127,19,0,0,17,0
14,46,277,137,18,0,0,15,0
15,206,177,197,122,0,1,19,1
15,206,0,37,26,0,0,17,0
24,154,0,69,26,0,0,17,0
59,160,0,177,26,0,0,17,0
64,260,355,167,116,0,0,17,0
51,152,328,149,18,0,9,17,0
51,30,261,167,24,1,0,4,0
18,50,251,131,87,0,0,17,0
27,224,384,84,138,0,0,17,0
38,2,167,70,70,0,0,17,0
43,77,232,100,22,0,0,17,0
52,114,222,197,24,1,1,4,0
59,296,305,167,134,0,0,17,0
51,152,351,169,19,0,0,17,0
59,146,0,177,26,0,0,17,0
52,114,116,116,24,1,0,15,0
64,228,96,127,23,0,12,17,0
27,198,209,86,24,1,0,15,0
52,212,0,151,26,0,0,17,0
6,216,63,167,89,0,0,17,0
18,200,177,197,122,0,1,17,0
64,228,104,127,24,1,0,17,0
64,115,45,167,24,1,0,17,0
45,207,49,21,136,0,1,17,0
50,248,173,118,24,1,0,17,0
45,207,47,21,134,0,1,17,0
24,305,0,69,26,0,0,15,0
7,32,377,190,34,0,0,14,0
6,216,153,172,161,0,1,17,0
11,292,302,127,19,0,0,17,0
18,50,122,19,63,0,1,17,0
6,216,198,187,125,0,0,17,0
64,260,0,182,26,0,0,17,0
52,113,0,151,26,0,0,17,0
11,196,0,30,26,0,0,17,0
51,152,56,23,24,1,0,17,0
18,165,261,167,24,1,9,17,1
52,157,150,187,21,0,0,17,1
49,143,398,167,91,0,9,17,1
67,314,0,186,22,0,13,17,0
59,36,10,187,24,1,1,17,0
59,138,0,177,26,0,0,17,0
6,216,56,23,48,0,0,17,0
6,232,0,11,22,0,9,17,1
66,163,38,18,112,1,1,17,1
36,66,177,197,128,0,0,17,0
51,152,328,149,18,0,9,17,0
20,243,177,197,7,0,0,17,0
15,206,104,102,19,0,0,17,0
58,196,363,191,24,1,0,17,0
49,139,0,143,26,0,0,17,0
59,140,398,193,86,0,1,17,1
58,39,43,167,24,1,9,20,1
18,129,261,167,24,1,9,17,1
52,113,344,169,19,0,0,15,0
58,186,0,170,26,0,0,17,0
33,156,324,167,24,1,0,17,0
6,232,344,125,19,0,0,17,0
64,228,6,167,24,1,12,17,0
65,162,177,197,128,0,12,4,1
18,200,146,167,4,0,0,17,0
6,216,156,61,161,0,1,17,0
48,73,0,135,26,0,0,17,0
7,32,17,190,18,0,0,14,0
51,30,0,149,26,0,0,17,0
26,281,226,161,24,1,0,15,0
58,186,0,170,26,0,0,17,0
59,36,393,187,24,1,0,17,0
14,46,386,18,24,1,14,10,1
64,228,319,197,13,0,1,17,0
6,216,82,169,27,0,0,15,0
7,133,337,197,146,0,1,17,1
64,258,405,167,41,0,9,17,0
27,224,382,138,26,0,0,17,0
64,188,44,167,24,1,13,15,1
27,198,281,138,24,1,1,19,1
64,185,0,182,26,0,0,17,0
15,206,0,37,26,0,0,17,1
59,296,306,167,160,0,0,17,0
11,203,0,30,26,0,1,17,1
59,138,249,167,4,0,0,17,0
6,216,157,18,114,0,3,17,0
33,263,42,74,24,1,0,19,0
59,4,302,127,24,1,1,18,1
21,310,0,66,26,0,0,17,0
58,277,206,197,7,0,1,17,0
15,201,323,146,19,0,0,17,0
66,202,248,130,18,0,0,15,0
59,143,258,137,41,0,1,15,1
7,37,336,197,22,0,0,17,0
59,140,0,177,26,0,0,17,0
6,216,138,60,16,0,0,17,0
6,249,194,187,24,1,1,17,1
51,152,178,18,24,1,13,17,0
59,155,163,167,91,0,9,17,0
22,244,213,138,24,1,1,19,0
15,201,288,187,24,1,1,17,0
45,207,178,19,24,1,1,17,0
8,13,331,19,24,1,0,17,0
10,7,59,167,24,1,7,17,1
45,207,178,19,24,1,1,17,0
64,49,0,182,26,0,0,17,0
6,216,313,125,144,0,0,17,0
52,179,330,187,126,0,0,17,0
6,216,56,23,48,0,0,17,0
6,216,88,169,27,0,0,15,0
6,232,344,125,19,0,0,15,0
66,202,331,119,19,0,0,17,0
64,228,175,167,71,0,0,17,0
6,216,313,125,144,0,0,17,0
6,216,73,38,16,0,0,17,0
18,200,109,167,24,1,0,17,0
33,175,76,38,22,0,1,15,1
59,146,0,177,26,0,0,17,0
38,285,222,97,24,1,16,17,1
67,312,425,198,22,0,0,17,0
18,92,189,138,41,0,9,19,1
58,182,349,167,24,1,9,17,1
18,200,339,10,19,0,0,17,0
6,60,56,18,24,1,2,17,1
64,260,0,182,26,0,0,17,0
58,39,363,167,24,1,0,19,0
8,282,85,40,23,0,0,17,0
6,216,156,61,161,0,1,17,0
59,296,175,167,22,0,0,17,0
6,216,255,197,88,0,12,17,1
64,229,6,167,24,1,9,17,1
6,216,157,18,114,0,3,17,0
50,248,240,118,18,0,0,17,0
64,228,101,167,23,0,9,17,0
9,85,61,18,157,0,1,20,1
1,43,1,1,44,0,13,15,1
45,207,273,167,89,0,1,18,0
59,4,305,167,24,1,9,17,1
18,200,392,49,113,0,1,17,0
43,79,128,167,24,1,1,17,1
21,307,0,66,26,0,1,15,0
66,168,0,184,26,0,1,17,1
18,92,0,54,26,0,1,16,0
59,143,102,200,24,1,0,20,0
6,232,252,123,19,0,0,17,0
33,65,0,89,26,0,0,17,0
51,30,0,149,26,0,0,17,0
50,248,59,138,41,0,1,17,0
66,202,251,131,87,0,0,17,0
58,196,0,170,26,0,1,17,0
50,248,59,138,41,0,1,18,1
60,235,17,189,24,1,9,17,0
67,314,276,197,146,0,9,17,1
6,216,158,167,89,0,0,17,0
27,224,125,197,24,1,0,17,0
33,65,240,113,18,0,0,17,0
64,228,390,167,16,0,0,17,0
18,200,61,18,39,0,17,15,0
66,24,56,18,24,1,19,17,1
18,200,0,54,26,0,17,16,0
37,1,239,163,111,0,0,15,0
45,207,0,132,26,0,0,17,0
6,216,153,172,161,0,1,17,0
64,228,0,182,26,0,1,17,0
59,296,305,167,134,0,0,17,0
59,296,390,167,160,1,15,4,0
6,216,331,19,93,0,0,17,0
50,248,0,144,26,0,0,17,0
6,216,63,167,89,0,0,17,0
6,216,407,18,163,0,0,15,0
52,61,61,18,41,0,1,19,1
64,259,0,182,26,0,0,17,0
7,170,220,197,24,1,12,17,0
59,138,258,137,41,0,1,15,1
6,216,377,18,22,0,0,17,0
7,32,65,192,24,1,9,19,0
64,228,99,197,141,0,1,17,0
9,85,61,18,157,0,1,17,0
48,130,0,135,26,0,0,17,0
18,74,61,18,24,1,0,17,0
52,211,56,23,24,1,1,17,0
38,285,0,95,26,0,16,17,1
15,206,93,102,24,1,1,17,0
41,3,11,6,137,0,1,18,1
25,304,144,62,24,1,1,17,1
50,123,161,175,24,1,1,18,1
6,216,63,167,89,0,0,17,0
42,70,0,107,26,0,0,17,0
18,50,351,169,19,0,0,15,0
6,216,177,197,7,0,0,19,0
1,43,0,2,26,0,19,17,0
18,50,66,169,19,0,0,17,0
11,277,240,127,19,0,0,20,0
53,251,215,167,24,1,0,17,0
18,50,0,54,26,0,15,16,1
58,277,177,197,7,0,0,17,0
26,281,226,161,24,1,0,17,0
10,261,300,19,24,1,12,17,1
6,249,194,187,24,1,1,17,0
64,259,268,127,41,0,1,19,1
18,117,189,138,41,0,9,10,1
33,65,398,138,123,0,9,19,0
52,113,38,40,24,1,9,15,1
64,259,354,167,75,0,9,18,1
6,213,46,18,52,0,2,10,1
6,213,350,167,160,0,0,17,0
33,263,107,88,24,1,9,15,0
26,27,344,138,161,0,0,17,0
7,32,65,167,24,1,9,17,0
6,216,38,18,24,1,19,17,0
7,37,286,197,24,1,9,17,0
53,234,215,167,24,1,0,17,0
59,36,32,169,19,0,0,15,0
6,216,63,167,89,0,0,17,0
6,216,200,187,21,0,0,17,0
32,219,247,167,24,1,0,18,0
52,179,278,138,24,1,9,17,1
6,216,111,187,172,0,12,17,0
18,200,109,167,24,1,0,17,0
18,117,189,138,41,0,9,19,1
7,32,65,192,24,1,9,17,0
26,27,80,197,24,1,0,19,0
6,216,82,169,27,0,0,17,0
6,216,138,60,26,0,0,15,0
51,152,179,200,43,0,0,17,0
52,75,0,151,26,0,1,17,1
59,69,290,177,18,0,4,17,1
27,224,398,138,28,0,0,19,0
9,85,57,23,24,1,0,17,0
6,216,90,187,2,0,0,18,0
64,189,0,182,26,0,0,17,0
6,216,198,187,125,0,0,17,0
11,287,296,138,24,1,12,17,1
26,223,261,167,18,0,9,19,0
14,46,372,167,18,0,1,18,0
58,39,363,167,24,1,0,17,0
10,125,386,18,24,1,18,17,1
36,66,177,197,128,0,0,17,0
18,174,284,138,64,0,1,19,1
11,277,226,102,24,1,12,17,1
18,50,251,131,87,0,0,17,0
18,177,218,172,167,0,9,17,1
61,5,0,179,26,0,0,17,0
6,216,152,167,89,0,0,17,0
51,152,215,167,165,0,0,17,0
22,308,117,44,41,0,1,17,0
66,202,251,131,87,0,0,17,0
57,274,193,76,24,1,1,15,1
18,200,109,167,24,1,0,17,0
6,213,81,169,27,0,0,15,0
52,81,359,167,127,0,0,17,0
6,216,312,147,134,0,5,17,0
49,287,302,127,19,0,0,17,0
51,152,0,149,26,0,9,17,0
58,191,371,167,24,1,9,17,1
59,14,0,177,26,0,1,17,1
6,216,193,76,103,0,1,17,0
36,66,261,167,24,1,0,17,0
42,294,236,109,24,1,9,17,1
64,228,104,127,24,1,0,17,0
52,211,0,151,26,0,0,17,0
17,194,0,52,26,0,0,17,0
45,207,0,132,26,0,0,17,0
36,66,311,167,119,0,1,15,0
27,224,339,150,24,1,0,17,0
64,228,6,167,24,1,12,18,1
56,159,369,164,116,0,0,17,0
49,138,0,143,26,0,0,17,0
52,183,0,151,26,0,0,17,1
50,55,56,17,49,0,19,15,1
52,81,300,172,24,1,12,17,0
52,114,398,138,136,0,1,17,0
59,36,0,177,26,0,17,15,0
67,312,420,197,22,0,1,17,0
52,113,38,40,24,1,9,17,0
50,248,278,138,41,0,1,17,0
50,248,364,28,18,0,0,17,0
60,235,0,178,26,0,15,17,1
6,216,82,169,27,0,0,15,0
59,296,319,197,7,0,0,17,0
49,104,0,143,26,0,0,17,0
52,211,38,197,6,0,1,17,0
6,216,152,167,89,0,0,19,0
66,202,256,123,19,0,0,17,0
18,254,61,18,24,1,12,19,1
0,47,57,23,24,1,0,17,0
58,295,155,167,24,1,0,17,0
