id	line	column	filename	methodname	varname	vartype	else	return	right
793	46	12	ArrayCompositeSubscription.java	setResource	THIS	ArrayCompositeSubscription	0	RET	o == $.SubscriptionHelper.CANCELLED
793	46	12	ArrayCompositeSubscription.java	setResource	o	Subscription	0	RET	$ == SubscriptionHelper.CANCELLED
794	47	16	ArrayCompositeSubscription.java	setResource	resource	Subscription	0	DEF	$ != null
795	52	12	ArrayCompositeSubscription.java	setResource	THIS	ArrayCompositeSubscription	0	RET	$.compareAndSet(index, o, resource)
795	52	12	ArrayCompositeSubscription.java	setResource	o	Subscription	0	RET	compareAndSet(index, $, resource)
795	52	12	ArrayCompositeSubscription.java	setResource	index	int	0	RET	compareAndSet($, o, resource)
795	52	12	ArrayCompositeSubscription.java	setResource	resource	Subscription	0	RET	compareAndSet(index, o, $)
796	53	16	ArrayCompositeSubscription.java	setResource	o	Subscription	0	DEF	$ != null
797	70	12	ArrayCompositeSubscription.java	replaceResource	THIS	ArrayCompositeSubscription	0	RET	o == $.SubscriptionHelper.CANCELLED
797	70	12	ArrayCompositeSubscription.java	replaceResource	o	Subscription	0	RET	$ == SubscriptionHelper.CANCELLED
798	71	16	ArrayCompositeSubscription.java	replaceResource	resource	Subscription	0	DEF	$ != null
799	76	12	ArrayCompositeSubscription.java	replaceResource	THIS	ArrayCompositeSubscription	0	RET	$.compareAndSet(index, o, resource)
799	76	12	ArrayCompositeSubscription.java	replaceResource	o	Subscription	0	RET	compareAndSet(index, $, resource)
799	76	12	ArrayCompositeSubscription.java	replaceResource	index	int	0	RET	compareAndSet($, o, resource)
799	76	12	ArrayCompositeSubscription.java	replaceResource	resource	Subscription	0	RET	compareAndSet(index, o, $)
800	84	8	ArrayCompositeSubscription.java	dispose	THIS	ArrayCompositeSubscription	0	DEF	$.get(0) != $.SubscriptionHelper.CANCELLED
58168	86	12	ArrayCompositeSubscription.java	dispose	i	int	0	NIL-FOR	$ < s
58168	86	12	ArrayCompositeSubscription.java	dispose	s	int	0	NIL-FOR	i < $
801	88	16	ArrayCompositeSubscription.java	dispose	THIS	ArrayCompositeSubscription	0	DEF	o != $.SubscriptionHelper.CANCELLED
